'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'f0552d4a3c70907';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Foliensatz könnte man alle zwei Woche auf Moodle aktualsieren bzw. überhaupt hochladen'
'3df82e34e1ffb6a';'20W';'PS';1.0;1.0;'50';'genehmigt';'Uni';'OPTIONEN';'Grund für den LV-Besuch:';' 1:Pflicht-LV(1/n), 2:Interesse(2/n), 3:Pflicht-LV und Interesse(4/n), 4:keine Antwort(-3/j)';'4';'3';'Diese Lv sollte man vllt. gleich im ersten Semester besuchen'
'3df82e34e1ffb6a';'20W';'PS';1.0;1.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Das ausführlich auf Fragen eingegangen werden.'
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'TOP Vortragender; sehr gute Vortragsweise, sehr engagiert, sehr gute Interaktion mit Studierenden'
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die praxisnahen Aufgabenstellungen'
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Herr Prof. Bölderl hat die LV sehr interessant gestaltet. Es ist eine der wenigen LVs, die mir im BA-Lehramtsstudium gezeigt hat, wie man einen Unterricht in der Praxis gestalten kann. 
Trotz der COVID-Umstände ist die LV sehr gut gelungen und die Inhalte wurden verständlich erklärt. Bei Rückfragen bzw. Verständnisschwierigkeiten nahm sich Herr Bölderl Zeit, um diese zu beantworten/klären, was wirklich sehr positiv anzumerken ist!
Anstatt einer typischen Seminararbeit soll eine Unterrichtsplanung zu einer Lektüre verfasst werden, was ich für didaktisch viel wertvoller halte. '
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Herr Böderl nimmt sich für Fragen, Unklarheiten und Erklärungen sehr viel Zeit. Ihm ist es wichtig, dass alle Fragezeichen geklärt sind. Seine Art und Weise zu lehren ist sehr komfortabel. Bei seinem Umgang mit den StudentInnen achtet er auf Gleichberechtigung und man kann sich sicher sein, dass er auf Probleme/Schwierigkeiten mit Verständnis reagieren wird. '
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Interessanter Input, interessante Diskussionen,  Wertschätzung Atmosphäre '
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'keine'
'410e9f89f10274f';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Nichts! '
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Gut gefallen hat mir vor allem die abwechselsungsreiche Beschaffenheit der LV. '
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'- Referat, Abgaben, Leseprotokoll und Abschlussreflexion ergeben die Note (Sie ist also nicht nur von einer Leistung abhängig) 
- Die LV wurde größtenteils von Studierenden gestaltet 
- sehr hilfreiche Literaturauswahl 
- Leseprotokolle erachte ich als sehr hilfreich, da man hier ein Sammelsurium aller Texte hat. 
'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'die Themenvielfalt'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Spannende Lehrveranstaltung mti wichtigen Themen für die Gestaltung von Unterricht.
Sehr nette und verständnisvolle LV-Leiterin, die einem auch bei Scheitern noch einmal die Möglichkeit gibt, seine Leistung (konkret: Referat) noch einmal nachzuholen.'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'/'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Es gab viele Unklarheiten, welche Leistungen jetzt eigentlich zu erledigen sind. Die Anforderungen änderten sich auch immer wieder. Wir mussten oft nachfragen, was gilt.'
